DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1016/j.watres.2024.121791,Angela Pedregal-Montes,1.0,first,False,251424209.0,ES,True,ICRA,Angela,female
10.1016/j.virusres.2021.198623,Ana Carolina Maganha de Almeida Kumlien,1.0,first,False,251424209.0,ES,True,ICRA,Ana,female
10.1063/5.0185044,Amadeu Delshams,1.0,first,False,9617848.0,ES,True,CRM,Amadeu,male
10.1128/mra.00952-24,Alicia Garrido Aranda,1.0,first,False,2799562678.0,ES,True,ICRA,Alicia,female
10.1016/j.geomphys.2023.104865,Alfonso Garmendia,1.0,first,True,4210122226.0,ES,True,CRM,Alfonso,male
10.1371/journal.pone.0264509,Alexandre Hyafil,1.0,first,True,4210122226.0,ES,True,CRM,Alexandre,male
10.1016/j.chemosphere.2021.133315,Alessio Cibati,1.0,first,False,2799562678.0,ES,True,ICRA,Alessio,male
10.1007/s00205-023-01852-1,Alejandro Molero,1.0,first,False,123044942.0,ES,True,CRM,Alejandro,male
10.1186/s12874-020-01188-4,Alejandra Cabaña,3.0,middle,False,123044942.0,ES,True,CRM,Alejandra,female
10.1016/j.jfa.2024.110522,Alberto Debernardi Pinos,1.0,first,True,123044942.0,ES,True,CRM,Alberto,male
10.1142/s0219061324500235,Albert Atserias,1.0,first,False,4210122226.0,ES,True,CRM,Albert,male
10.1016/j.cej.2020.126482,Adrián Jaén-Gil,1.0,first,False,251424209.0,ES,True,ICRA,Adrián,male
10.1016/j.ijheatmasstransfer.2023.124724,Abel Valverde,1.0,first,False,40120149.0,GB,True,CRM,Abel,male
10.1063/5.0087810,A. Hernández–Machado,2.0,middle,False,71999127.0,ES,True,CRM,A.,unknown
