DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1016/j.agee.2022.108322,Esther Íñiguez,3.0,middle,False,4210117018.0,ES,True,CTFC,Esther,female
10.1016/j.jag.2024.103735,Esko Merontausta,2.0,middle,False,15766328.0,ES,True,CTFC,Esko,male
10.1080/10095020.2024.2429376,Erico Kutchartt,1.0,first,False,4210117018.0,ES,True,CTFC,Erico,male
10.1016/j.meatsci.2023.109346,Elsa Varela,3.0,last,True,74656192.0,DE,True,CTFC,Elsa,female
10.2478/euco-2024-0028,Elena Górriz‐Mifsud,10.0,middle,False,4210124726.0,CZ,True,CTFC,Elena,female
10.1007/s00468-020-02028-0,Eduardo Collado,2.0,middle,False,15766328.0,ES,True,CTFC,Eduardo,male
10.1016/j.envc.2024.100959,Eduard Busquets Olivé,2.0,middle,False,4210117018.0,ES,True,CTFC,Eduard,male
10.1016/j.foreco.2023.120935,E. Jordán Muñoz‐Adalia,1.0,first,True,108103353.0,ES,True,CTFC,E.,unknown
10.3390/jof8050485,Dora Štraus,2.0,middle,False,15766328.0,ES,True,CTFC,Dora,female
10.1007/s10342-023-01539-y,Diana-Cristina Șimon,1.0,first,False,15766328.0,ES,True,CTFC,Diana-Cristina,unknown
10.1111/nph.16862,Delphine Grivet,6.0,middle,False,4210117018.0,ES,True,CTFC,Delphine,female
10.3389/fevo.2021.611563,David Giralt,1.0,first,True,4210117018.0,ES,True,CTFC,David,male
10.5424/fs/2021301-17519,Daniel Oliach,4.0,middle,False,4210124726.0,CZ,True,CTFC,Daniel,male
10.1007/s10530-023-03244-8,Dani Villero,6.0,middle,False,4210129656.0,ES,True,CTFC,Dani,male
10.1002/rra.4058,Damián Vericat,6.0,last,False,15766328.0,ES,True,CTFC,Damián,male
10.1002/rra.3996,Damià Vericat,20.0,middle,True,15766328.0,ES,True,CTFC,Damià,unknown
10.1111/avsc.12724,Cristina Chocarro,3.0,middle,False,15766328.0,ES,True,CTFC,Cristina,female
10.3390/s24175780,Cristian Pérez‐Granados,4.0,last,False,32725510.0,BR,True,CTFC,Cristian,male
10.1016/j.soilbio.2021.108510,Christine R. Fischer,3.0,middle,False,4210117018.0,ES,True,CTFC,Christine,female
10.1007/s13593-023-00927-3,Carme Casas i Arcarons,8.0,middle,False,4210117018.0,ES,True,CTFC,Carme,female
10.5424/fs/2021301-17519,Carlos Colinas,7.0,middle,False,4210124726.0,CZ,True,CTFC,Carlos,male
10.1007/s00374-022-01629-w,Carles Castaño,4.0,middle,False,4210117018.0,ES,True,CTFC,Carles,male
10.3390/rs16132500,Aymen Moghli,3.0,middle,False,40193446.0,DZ,True,CTFC,Aymen,unknown
10.1080/10095020.2024.2429376,Antoni Trasobares,3.0,middle,False,4210117018.0,ES,True,CTFC,Antoni,male
10.3390/fire7110415,Annick Smeenk,3.0,middle,False,4210117018.0,ES,True,CTFC,Annick,female
10.3390/molecules28248050,Anna Teixidó,2.0,middle,False,4210117018.0,ES,True,CTFC,Anna,female
10.1016/j.foreco.2023.120935,Andreu Meijer,4.0,middle,False,4210117018.0,ES,True,CTFC,Andreu,male
10.1016/j.foreco.2021.119558,Andrea Duane,1.0,first,True,4210117018.0,ES,True,CTFC,Andrea,female
10.1016/j.foreco.2023.120935,Anand B. Uppara,2.0,middle,False,15766328.0,ES,True,CTFC,Anand,male
10.1186/s13595-023-01190-y,Ana Isabel Álvarez Ríos,4.0,middle,False,4210117018.0,ES,True,CTFC,Ana,female
10.1002/eap.2309,Alejandra Morán‐Ordóñez,3.0,middle,False,4210129656.0,ES,True,CTFC,Alejandra,female
10.1016/j.scitotenv.2021.150308,Albert Bach,3.0,middle,False,4210117018.0,ES,True,CTFC,Albert,male
10.1080/15481603.2021.1894832,Aitor Améztegui,1.0,first,True,15766328.0,ES,True,CTFC,Aitor,male
10.1016/j.jenvman.2022.116045,Adrián Regos,10.0,middle,False,4390039289.0,,True,CTFC,Adrián,male
10.3390/f15020246,Adriano Raddi,2.0,middle,False,4210117018.0,ES,True,CTFC,Adriano,male
10.1016/j.scitotenv.2024.173270,Abhilash Dutta Roy,1.0,first,False,4210116098.0,RW,True,CTFC,Abhilash,unknown
10.1007/s40725-024-00235-3,A. Paneque Ávila,38.0,middle,False,4210117018.0,ES,True,CTFC,A.,unknown
